
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server

  2025-06-12 04:21:14 / .......................................... ~ 506.34ms
  2025-06-12 04:21:22 / ............................................ ~ 0.29ms
  2025-06-12 04:21:22 /dashboard ................................... ~ 0.10ms
  2025-06-12 04:21:22 /favicon.svg ................................. ~ 0.11ms
  2025-06-12 04:21:22 /favicon.ico ................................. ~ 0.06ms
  2025-06-12 04:21:33 / ............................................ ~ 0.49ms
  2025-06-12 04:21:33 /dashboard ................................... ~ 0.10ms
  2025-06-12 04:21:33 /login ....................................... ~ 0.06ms
  2025-06-12 04:21:33 /favicon.svg ................................. ~ 0.06ms
  2025-06-12 04:21:33 /favicon.ico ................................. ~ 0.06ms
  2025-06-12 04:21:34 /login ....................................... ~ 0.23ms
  2025-06-12 04:21:34 /favicon.svg ................................. ~ 0.11ms
  2025-06-12 04:21:34 /favicon.ico ................................. ~ 0.13ms
  2025-06-12 04:21:35 /login ....................................... ~ 0.08ms
  2025-06-12 04:21:35 /favicon.svg ............................... ~ 505.26ms
  2025-06-12 04:21:35 /favicon.ico ................................. ~ 0.02ms
